"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-044612804-001",2024,9,12,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-09-12"
"2024-044600459-001",2024,10,3,"15 RPM","19 BPM","42 CIA PM",PM,NOVO ORIENTE DE MINAS,CENTRO,FURTO,2.0,SOLICITANTE,0,0,0,"2024-10-03"
"2024-044600459-001",2024,10,3,"15 RPM","19 BPM","42 CIA PM",PM,NOVO ORIENTE DE MINAS,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-03"
"2024-044600132-001",2024,10,3,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO FRANCISCO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-03"
"2024-044497206-001",2024,10,3,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,3.0,SOLICITANTE,0,0,0,"2024-10-03"
"2024-044497206-001",2024,10,3,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,4.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-03"
"2024-044473774-001",2024,10,3,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-03"
"2024-044473774-001",2024,10,3,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,2.0,SOLICITANTE,0,0,0,"2024-10-03"
"2024-044456121-001",2024,10,2,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-02"
"2024-044455092-001",2024,10,3,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,SANTA CLARA,ROUBO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-10-03"
"2024-044441634-001",2024,10,2,"15 RPM","19 BPM","42 CIA PM",PM,PAVAO,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-02"
"2024-044407038-001",2024,10,3,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO DIOGO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-03"
"2024-044371020-001",2024,10,1,"15 RPM","19 BPM","232 CIA PM",PC,MALACACHETA,ESPERANCA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-10-01"
